genotype,instance_precision,instance_recall,instance_f1,pixel_precision,pixel_recall,pixel_f1
Bay-0,0.6105675146771037,0.5288135593220339,0.5667574931880108,0.8043718398682473,0.8228440084236478,0.8135030760363692
Col-0*,0.7682926829268293,0.8253275109170306,0.7957894736842106,0.8793680820061862,0.8460403344810624,0.8623823311899123
Cvi-0,0.5040783034257749,0.47103658536585363,0.48699763593380613,0.7670895786322359,0.8481340324286217,0.8055785875146148
Ge-0,0.612141652613828,0.5134370579915134,0.5584615384615385,0.8458781362007168,0.7740001557734044,0.8083444446765032
Hs-0,0.7639593908629442,0.6872146118721462,0.7235576923076924,0.7901923289081749,0.8587214111873523,0.8230328309959226
Kondara,0.6660194174757281,0.5532258064516129,0.6044052863436122,0.7789881939385029,0.8474337898254699,0.8117707753689631
Lip-0,0.47619047619047616,0.4409171075837742,0.45787545787545786,0.8910325012425132,0.6885498665590168,0.776813317667226
No-0,0.42833607907743,0.38404726735598227,0.4049844236760125,0.8014844014659235,0.8179218203278322,0.8096196887341105
Oy-0,0.6913265306122449,0.584051724137931,0.633177570093458,0.7858371258992052,0.857435439764757,0.8200764933437659
Pu2-23,0.6257088846880907,0.5321543408360129,0.575152041702867,0.838123085101918,0.7657644069269824,0.8003115310575891
Shahdara,0.7,0.6918604651162791,0.6959064327485379,0.8525684163301929,0.7750042480883602,0.8119381197372403
St-0,0.7990430622009569,0.6915113871635611,0.7413984461709212,0.7805563454926191,0.8882687809829217,0.8309364744088122
Ting-1,0.41707717569786534,0.38837920489296635,0.40221694378463974,0.8141675377632911,0.7665872157375729,0.7896612988645179
Ts-1,0.6209850107066381,0.5132743362831859,0.562015503875969,0.8805304295067276,0.7475641863001892,0.808617641328553
Uk-1,0.45869947275922673,0.40717628705148207,0.43140495867768597,0.7479561581976975,0.821554980974086,0.7830299409557794
Ws-0,0.6794871794871795,0.6057142857142858,0.6404833836858007,0.8208321624984947,0.8127328914812644,0.8167624487594929
id2-3,0.7931937172774869,0.7632241813602015,0.7779204107830552,0.8600107624894296,0.8218459261902388,0.8404953244697264
pme38-1,0.8067226890756303,0.7346938775510204,0.7690253671562082,0.8716421730271382,0.8198445507108171,0.8449502744506812
TOTAL (micro-avg),0.6097386322950232,0.5437420178799489,0.5748523206751054,0.815142807037271,0.8061607751425885,0.8106269108337447
